epsilon,attack,acc_before,acc_after,avg_ber,max_ber,pert_power,wifi_ok
0.01,fgsm,1.000000,1.000000,0.0095939266,0.0127824859,2.0101196424e-04,FAIL
0.05,fgsm,1.000000,1.000000,0.0310063559,0.0356638418,5.0253057852e-03,FAIL
0.1,fgsm,1.000000,1.000000,0.0601730226,0.0675847458,2.0101226866e-02,FAIL
0.15,fgsm,1.000000,1.000000,0.0900847458,0.0956214689,4.5227754861e-02,FAIL
0.2,fgsm,1.000000,1.000000,0.1221610169,0.1315677966,8.0404892564e-02,FAIL
0.3,fgsm,1.000000,1.000000,0.1956179379,0.2052259887,1.8091103435e-01,FAIL
0.5,fgsm,1.000000,1.000000,0.3293785311,0.3405367232,5.0253057480e-01,FAIL
