epsilon,avg_ber,max_ber,avg_pert_power_ratio,n_frames
0.0,0.0,0.0,0.0,500
0.5,0.0,0.0,0.006345717236399651,500
1.0,0.0,0.0,0.025382868945598602,500
2.0,0.0,0.0,0.10153147578239441,500
5.0,0.0,0.0,0.6345717906951904,500
10.0,0.9381770244821093,0.9576271186440678,2.5382871627807617,500
